DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-12-09,9:30:01.083037199,T,308.75,80,311.38,40,IBM
2025-12-09,9:30:01.113083762,T,308.75,120,311.38,40,IBM
2025-12-09,9:30:01.161358725,T,309.0,40,311.38,40,IBM
2025-12-09,9:30:01.173121692,T,308.75,120,311.38,40,IBM
2025-12-09,9:30:01.303126120,T,309.56,40,311.38,40,IBM
2025-12-09,9:30:01.303567147,T,309.56,80,311.38,40,IBM
2025-12-09,9:30:01.431356414,T,309.56,40,311.38,40,IBM
2025-12-09,9:30:01.745845021,T,309.57,40,311.38,40,IBM
2025-12-09,9:30:01.804584883,T,309.57,80,311.38,40,IBM
2025-12-09,9:30:01.858743825,T,309.57,40,311.38,40,IBM
2025-12-09,9:30:02.143621907,T,309.64,40,311.38,40,IBM
2025-12-09,9:30:02.148047507,T,308.75,120,311.38,40,IBM
2025-12-09,9:30:02.206827419,T,309.57,40,311.38,40,IBM
2025-12-09,9:30:02.289008058,T,308.75,120,311.38,40,IBM
2025-12-09,9:30:03.199204947,T,309.58,80,311.38,40,IBM
2025-12-09,9:30:03.199244990,T,309.58,120,311.38,40,IBM
2025-12-09,9:30:03.199305141,T,309.58,120,313.0,40,IBM
2025-12-09,9:30:03.199595881,T,309.58,80,313.0,40,IBM
2025-12-09,9:30:03.199595881,T,309.85,40,313.0,40,IBM
2025-12-09,9:30:03.204101552,T,309.58,80,313.0,40,IBM
2025-12-09,9:30:03.219207521,T,308.75,120,313.0,40,IBM
2025-12-09,9:30:03.603226689,T,309.86,40,313.0,40,IBM
2025-12-09,9:30:03.603647697,T,309.86,80,313.0,40,IBM
2025-12-09,9:30:03.712241273,T,309.86,40,313.0,40,IBM
2025-12-09,9:30:04.288217276,T,309.87,40,313.0,40,IBM
2025-12-09,9:30:04.288287475,T,309.86,40,313.0,40,IBM
2025-12-09,9:30:04.288292444,T,310.0,40,313.0,40,IBM
2025-12-09,9:30:04.289079383,T,308.75,120,313.0,40,IBM
2025-12-09,9:30:04.289390123,T,310.0,40,313.0,40,IBM
2025-12-09,9:30:04.304300514,T,308.75,120,313.0,40,IBM
2025-12-09,9:30:04.474641095,T,308.75,120,311.83,40,IBM
2025-12-09,9:30:06.130883752,T,308.75,120,313.0,40,IBM
2025-12-09,9:30:06.158850383,T,308.75,120,312.26,40,IBM
2025-12-09,9:30:08.824230460,T,309.95,120,312.26,40,IBM
