DATE,TIME_M,EX,SYM_ROOT,TR_SCOND,SIZE,PRICE
2025-10-23,9:30:01.080057880,T,IBM,,100,265.0
2025-10-23,9:30:01.080061214,T,IBM,Q,100,265.0
2025-10-23,9:30:01.080061214,T,IBM,I,20,265.4
2025-10-23,9:30:01.102482198,T,IBM,F I,13,265.41
2025-10-23,9:30:01.102659688,T,IBM,I,20,265.52
2025-10-23,9:30:01.102773968,T,IBM,,100,265.0
2025-10-23,9:30:01.102864161,T,IBM,,100,265.0
2025-10-23,9:30:01.102999446,T,IBM,,100,265.0
2025-10-23,9:30:01.103032553,T,IBM,F I,10,265.5
2025-10-23,9:30:01.103116775,T,IBM,F,100,265.0
2025-10-23,9:30:01.103134828,T,IBM,F,1649,265.0
2025-10-23,9:30:01.103137795,T,IBM,F,100,265.51
2025-10-23,9:30:01.103137795,T,IBM,F,100,265.51
2025-10-23,9:30:01.104109110,T,IBM,F I,38,265.505
2025-10-23,9:30:01.104503108,T,IBM,,100,265.0
2025-10-23,9:30:01.105140516,T,IBM,F I,11,264.97
2025-10-23,9:30:01.105173620,T,IBM,F I,50,265.23
2025-10-23,9:30:01.106078834,T,IBM,F I,12,265.23
2025-10-23,9:30:01.106078834,T,IBM,F I,13,265.3
2025-10-23,9:30:01.112917140,T,IBM,F I,2,265.3
2025-10-23,9:30:01.112989260,T,IBM,F I,1,265.3
2025-10-23,9:30:01.112998224,T,IBM,F,100,265.05
2025-10-23,9:30:01.113001258,T,IBM,F I,10,265.29
2025-10-23,9:30:01.113004274,T,IBM,F I,1,265.29
2025-10-23,9:30:01.113007246,T,IBM,,100,265.03
2025-10-23,9:30:01.113196773,T,IBM,F,100,265.01
2025-10-23,9:30:01.113283989,T,IBM,I,6,265.29
2025-10-23,9:30:01.113374216,T,IBM,,100,264.96
2025-10-23,9:30:01.113656877,T,IBM,F I,1,265.0
2025-10-23,9:30:01.113879364,T,IBM,I,1,265.02
2025-10-23,9:30:01.113903405,T,IBM,F I,1,265.02
2025-10-23,9:30:01.115316837,T,IBM,F I,89,265.27
2025-10-23,9:30:01.115319864,T,IBM,F,100,265.35
2025-10-23,9:30:01.122888830,T,IBM,,100,264.81
2025-10-23,9:30:01.127769401,T,IBM,F,100,265.19
2025-10-23,9:30:01.127907799,T,IBM,F I,30,265.29
2025-10-23,9:30:01.130115033,T,IBM,F I,13,265.3
2025-10-23,9:30:01.130133068,T,IBM,F I,50,265.3
2025-10-23,9:30:01.130157156,T,IBM,I,1,265.3
2025-10-23,9:30:01.131078008,T,IBM,F I,36,265.3
2025-10-23,9:30:01.131078008,T,IBM,F I,32,265.43
2025-10-23,9:30:01.135416609,T,IBM,F,100,265.43
2025-10-23,9:30:01.156935897,T,IBM,I,6,265.25
2025-10-23,9:30:01.161449603,T,IBM,F I,4,265.0
2025-10-23,9:30:01.161497812,T,IBM,I,4,265.0
2025-10-23,9:30:01.161528247,T,IBM,I,33,265.0
2025-10-23,9:30:01.164730461,T,IBM,F,100,265.8
2025-10-23,9:30:01.164769494,T,IBM,I,17,265.35
2025-10-23,9:30:01.164862691,T,IBM,I,17,265.3
2025-10-23,9:30:01.165016627,T,IBM,F I,60,265.3
2025-10-23,9:30:01.165040214,T,IBM,F I,40,265.3
2025-10-23,9:30:01.165043182,T,IBM,F I,55,265.3
2025-10-23,9:30:01.165043182,T,IBM,F,100,265.3
2025-10-23,9:30:01.165064195,T,IBM,I,21,265.3
2025-10-23,9:30:01.165064195,T,IBM,I,21,265.3
2025-10-23,9:30:01.165512264,T,IBM,I,6,265.21
2025-10-23,9:30:01.165852051,T,IBM,F I,21,265.3
2025-10-23,9:30:01.170305894,T,IBM,,100,265.13
2025-10-23,9:30:01.173496258,T,IBM,F I,35,265.82
2025-10-23,9:30:01.180984084,T,IBM,F,100,265.82
2025-10-23,9:30:01.180984084,T,IBM,F,100,265.83
2025-10-23,9:30:01.202328903,T,IBM,I,89,265.3
2025-10-23,9:30:01.219063786,T,IBM,,100,265.32
2025-10-23,9:30:01.219066771,T,IBM,I,5,265.3
2025-10-23,9:30:01.356337552,T,IBM,I,10,265.44
2025-10-23,9:30:01.406340893,T,IBM,F I,3,265.44
2025-10-23,9:30:01.406340893,T,IBM,F I,3,265.44
2025-10-23,9:30:01.406343633,T,IBM,F I,66,265.05
2025-10-23,9:30:01.483023092,T,IBM,I,6,265.44
2025-10-23,9:30:01.514625383,T,IBM,,100,265.44
2025-10-23,9:30:01.515220783,T,IBM,,100,265.44
2025-10-23,9:30:01.526353393,T,IBM,I,94,265.44
2025-10-23,9:30:01.544895931,T,IBM,F I,32,265.85
2025-10-23,9:30:01.544895931,T,IBM,F I,4,265.86
2025-10-23,9:30:01.544898444,T,IBM,F I,34,265.86
2025-10-23,9:30:01.545181153,T,IBM,F I,24,265.86
2025-10-23,9:30:01.545226218,T,IBM,F I,7,265.88
2025-10-23,9:30:01.545716336,T,IBM,F I,7,265.88
2025-10-23,9:30:01.545782483,T,IBM,F I,9,265.89
2025-10-23,9:30:01.545795271,T,IBM,F I,9,265.89
2025-10-23,9:30:01.545836698,T,IBM,F I,10,265.89
2025-10-23,9:30:01.545890785,T,IBM,I,7,265.66
2025-10-23,9:30:01.548230414,T,IBM,F I,9,265.89
2025-10-23,9:30:01.548230414,T,IBM,F I,9,265.89
2025-10-23,9:30:01.548236703,T,IBM,F I,9,265.89
2025-10-23,9:30:01.548266394,T,IBM,I,19,265.7
2025-10-23,9:30:01.548272476,T,IBM,F I,9,265.89
2025-10-23,9:30:01.548275679,T,IBM,F I,36,265.89
2025-10-23,9:30:01.548278743,T,IBM,F I,9,265.9
2025-10-23,9:30:01.548278743,T,IBM,F I,1,266.0
2025-10-23,9:30:01.548284479,T,IBM,F,218,266.0
2025-10-23,9:30:01.548314570,T,IBM,F I,21,266.0
2025-10-23,9:30:01.548997154,T,IBM,I,9,265.9
2025-10-23,9:30:01.550994900,T,IBM,F I,32,265.99
2025-10-23,9:30:01.550994900,T,IBM,F I,11,266.0
2025-10-23,9:30:01.552419345,T,IBM,I,50,266.11
2025-10-23,9:30:01.554488267,T,IBM,I,20,265.99
2025-10-23,9:30:01.672344786,T,IBM,F,100,265.745
2025-10-23,9:30:01.672365863,T,IBM,F,100,266.2
2025-10-23,9:30:01.813783529,T,IBM,I,9,265.795
2025-10-23,9:30:01.865840471,T,IBM,,200,265.795
2025-10-23,9:30:01.905339546,T,IBM,I,7,265.795
2025-10-23,9:30:02.137705857,T,IBM,I,12,265.48
2025-10-23,9:30:02.137705857,T,IBM,I,37,265.39
2025-10-23,9:30:02.137709089,T,IBM,I,32,265.37
2025-10-23,9:30:02.137709089,T,IBM,I,37,265.37
2025-10-23,9:30:02.137711786,T,IBM,I,3,265.35
2025-10-23,9:30:02.137711786,T,IBM,I,10,265.24
2025-10-23,9:30:02.137714863,T,IBM,I,69,265.1
2025-10-23,9:30:02.137756909,T,IBM,I,25,265.35
2025-10-23,9:30:02.137759891,T,IBM,I,75,265.35
2025-10-23,9:30:02.262502852,T,IBM,I,6,266.31
2025-10-23,9:30:02.263107256,T,IBM,,100,266.035
2025-10-23,9:30:02.263158487,T,IBM,,125,266.035
2025-10-23,9:30:02.263176397,T,IBM,I,37,266.18
2025-10-23,9:30:02.263176397,T,IBM,I,13,266.31
2025-10-23,9:30:02.263188509,T,IBM,I,3,266.31
2025-10-23,9:30:02.263486219,T,IBM,,100,266.035
2025-10-23,9:30:02.264036493,T,IBM,I,75,266.035
2025-10-23,9:30:02.264039500,T,IBM,I,10,266.31
2025-10-23,9:30:02.264039500,T,IBM,I,15,266.38
2025-10-23,9:30:02.321199725,T,IBM,F,100,266.0
2025-10-23,9:30:02.611002425,T,IBM,,100,266.03
2025-10-23,9:30:03.016410234,T,IBM,F I,7,266.37
2025-10-23,9:30:03.016412558,T,IBM,F I,18,266.38
2025-10-23,9:30:03.041519307,T,IBM,I,7,266.38
2025-10-23,9:30:03.041573439,T,IBM,,100,266.38
2025-10-23,9:30:03.406260829,T,IBM,F,100,266.48
2025-10-23,9:30:03.406260829,T,IBM,F I,25,266.48
2025-10-23,9:30:03.406263702,T,IBM,I,35,266.48
2025-10-23,9:30:03.406266886,T,IBM,I,5,266.49
2025-10-23,9:30:03.406266886,T,IBM,I,65,266.49
2025-10-23,9:30:03.406278810,T,IBM,,100,266.47
2025-10-23,9:30:03.406290790,T,IBM,I,35,266.49
2025-10-23,9:30:03.406290790,T,IBM,I,35,266.49
2025-10-23,9:30:03.406351226,T,IBM,I,11,266.48
2025-10-23,9:30:03.406351226,T,IBM,I,65,266.49
2025-10-23,9:30:03.406353986,T,IBM,I,24,266.49
2025-10-23,9:30:03.406365999,T,IBM,F I,76,266.49
2025-10-23,9:30:03.406420121,T,IBM,,100,266.49
2025-10-23,9:30:03.406633597,T,IBM,F,100,266.54
2025-10-23,9:30:03.406763046,T,IBM,F I,60,266.49
2025-10-23,9:30:03.406763046,T,IBM,F I,40,266.54
2025-10-23,9:30:03.406808047,T,IBM,I,6,266.51
2025-10-23,9:30:03.406913265,T,IBM,I,20,266.54
2025-10-23,9:30:03.406958397,T,IBM,I,2,266.54
2025-10-23,9:30:03.407000448,T,IBM,I,21,266.54
2025-10-23,9:30:03.407045535,T,IBM,I,7,266.54
2025-10-23,9:30:03.407069687,T,IBM,I,10,266.54
2025-10-23,9:30:03.407072677,T,IBM,,100,266.54
2025-10-23,9:30:03.407199073,T,IBM,I,50,266.55
2025-10-23,9:30:03.408891961,T,IBM,,100,266.58
2025-10-23,9:30:03.557538831,T,IBM,I,76,266.1
2025-10-23,9:30:03.557541872,T,IBM,I,24,266.09
2025-10-23,9:30:03.557626065,T,IBM,F I,5,266.09
2025-10-23,9:30:03.557737307,T,IBM,I,7,266.25
2025-10-23,9:30:03.564464362,T,IBM,I,71,266.09
2025-10-23,9:30:03.826285876,T,IBM,,100,266.08
2025-10-23,9:30:03.826285876,T,IBM,I,25,266.27
2025-10-23,9:30:03.826285876,T,IBM,I,22,266.31
2025-10-23,9:30:03.976324835,T,IBM,F I,1,266.14
2025-10-23,9:30:03.976442119,T,IBM,I,36,266.14
2025-10-23,9:30:04.021760067,T,IBM,I,32,265.82
2025-10-23,9:30:04.021760067,T,IBM,I,1,265.81
2025-10-23,9:30:04.023841029,T,IBM,I,7,266.06
2025-10-23,9:30:04.024117641,T,IBM,I,5,265.85
2025-10-23,9:30:04.024117641,T,IBM,I,5,265.82
2025-10-23,9:30:04.153242073,T,IBM,I,22,265.96
2025-10-23,9:30:04.266672111,T,IBM,I,6,266.3
2025-10-23,9:30:04.380932038,T,IBM,I,29,266.2
2025-10-23,9:30:04.453826081,T,IBM,F,100,266.55
2025-10-23,9:30:04.453828713,T,IBM,F I,32,266.55
2025-10-23,9:30:04.453828713,T,IBM,F,100,266.56
