DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-12-31,9:30:00.362135677,T,69.73,400,70.33,100,KO
2025-12-31,9:30:00.588574962,T,69.73,400,70.36,200,KO
2025-12-31,9:30:00.588574962,T,69.73,400,70.14,100,KO
2025-12-31,9:30:01.130831726,T,69.73,400,70.36,200,KO
2025-12-31,9:30:01.130841827,T,69.73,400,70.1,100,KO
2025-12-31,9:30:01.130881848,T,69.73,400,70.1,200,KO
2025-12-31,9:30:01.130917000,T,69.73,400,70.1,100,KO
2025-12-31,9:30:01.131628781,T,69.73,400,70.36,300,KO
2025-12-31,9:30:01.131638656,T,69.73,400,70.1,100,KO
2025-12-31,9:30:01.131673788,T,69.73,400,70.1,200,KO
2025-12-31,9:30:01.132009971,T,69.73,400,70.1,100,KO
2025-12-31,9:30:01.132059657,T,69.73,400,70.1,200,KO
2025-12-31,9:30:01.132069730,T,70.02,100,70.1,200,KO
2025-12-31,9:30:01.132114779,T,70.02,100,70.1,300,KO
2025-12-31,9:30:01.132175234,T,70.02,100,70.1,200,KO
2025-12-31,9:30:01.132180028,T,70.02,100,70.1,100,KO
2025-12-31,9:30:01.132210000,T,70.02,100,70.36,300,KO
2025-12-31,9:30:01.132250140,T,70.02,100,70.1,100,KO
2025-12-31,9:30:01.132280276,T,70.02,100,70.1,200,KO
2025-12-31,9:30:01.132330471,T,70.02,100,70.1,100,KO
2025-12-31,9:30:01.132360358,T,70.02,100,70.36,300,KO
2025-12-31,9:30:01.132405494,T,70.02,100,70.13,100,KO
2025-12-31,9:30:01.132425525,T,70.02,100,70.1,100,KO
2025-12-31,9:30:01.132475701,T,70.02,100,70.1,200,KO
2025-12-31,9:30:01.132520752,T,70.02,100,70.1,100,KO
2025-12-31,9:30:01.132550876,T,70.02,100,70.14,100,KO
2025-12-31,9:30:01.132550876,T,70.02,100,70.36,300,KO
2025-12-31,9:30:01.132585998,T,70.02,100,70.14,100,KO
2025-12-31,9:30:01.132616065,T,70.02,100,70.36,300,KO
2025-12-31,9:30:01.139993572,T,70.02,100,70.31,200,KO
2025-12-31,9:30:01.140028692,T,70.02,100,70.31,300,KO
2025-12-31,9:30:01.140028692,T,70.02,100,70.31,400,KO
2025-12-31,9:30:01.152693787,T,69.73,400,70.31,400,KO
2025-12-31,9:30:01.156467782,T,69.73,400,70.31,300,KO
2025-12-31,9:30:01.156497934,T,69.73,400,70.28,100,KO
2025-12-31,9:30:01.157054265,T,69.73,400,70.28,200,KO
2025-12-31,9:30:01.169348492,T,69.73,400,70.28,100,KO
2025-12-31,9:30:01.169363490,T,69.73,400,70.28,200,KO
2025-12-31,9:30:01.169383590,T,69.73,400,70.28,100,KO
2025-12-31,9:30:01.169393605,T,69.73,400,70.28,200,KO
2025-12-31,9:30:01.169418750,T,69.73,400,70.28,300,KO
2025-12-31,9:30:01.169418750,T,69.73,400,70.28,200,KO
2025-12-31,9:30:01.169664300,T,69.73,400,70.12,100,KO
2025-12-31,9:30:01.176495488,T,69.73,400,70.07,100,KO
2025-12-31,9:30:01.176700970,T,69.73,400,70.07,200,KO
2025-12-31,9:30:01.176741209,T,69.73,400,70.07,100,KO
2025-12-31,9:30:01.176746154,T,69.73,400,70.06,100,KO
