DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-11-26,9:30:01.095295737,T,86.35,600,87.0,200,TGT
2025-11-26,9:30:01.095335825,T,86.35,600,86.95,100,TGT
2025-11-26,9:30:01.096162757,T,86.35,600,87.0,100,TGT
2025-11-26,9:30:01.110216257,T,86.35,600,87.0,200,TGT
2025-11-26,9:30:01.186808750,T,86.35,600,86.86,100,TGT
2025-11-26,9:30:01.187244808,T,86.35,600,86.86,200,TGT
2025-11-26,9:30:01.614181997,T,86.55,100,86.86,200,TGT
2025-11-26,9:30:03.726128417,T,86.61,100,86.86,200,TGT
2025-11-26,9:30:07.410210064,T,86.55,100,86.86,200,TGT
2025-11-26,9:30:07.410235088,T,86.55,100,86.71,100,TGT
2025-11-26,9:30:07.411102121,T,86.55,100,86.71,200,TGT
2025-11-26,9:30:07.510318565,T,86.55,100,86.71,100,TGT
2025-11-26,9:30:15.399583645,T,86.55,100,86.86,100,TGT
2025-11-26,9:30:15.399613758,T,86.58,100,86.86,100,TGT
2025-11-26,9:30:15.399663776,T,86.6,100,86.86,100,TGT
2025-11-26,9:30:15.399683904,T,86.58,100,86.86,100,TGT
2025-11-26,9:30:15.400129898,T,86.6,100,86.86,100,TGT
2025-11-26,9:30:15.400585988,T,86.6,100,86.86,200,TGT
2025-11-26,9:30:15.400611029,T,86.58,100,86.86,200,TGT
2025-11-26,9:30:15.412594593,T,86.58,100,86.86,100,TGT
2025-11-26,9:30:15.413060788,T,86.58,100,86.86,200,TGT
2025-11-26,9:30:15.419225400,T,86.6,100,86.86,200,TGT
2025-11-26,9:30:15.519293858,T,86.58,100,86.86,200,TGT
2025-11-26,9:30:17.345048693,T,86.65,100,86.86,200,TGT
2025-11-26,9:30:17.345594859,T,86.66,100,86.86,200,TGT
2025-11-26,9:30:17.345604897,T,86.65,100,86.86,200,TGT
2025-11-26,9:30:17.345635005,T,86.66,100,86.86,200,TGT
2025-11-26,9:30:17.345845485,T,86.72,100,86.86,200,TGT
2025-11-26,9:30:17.345870586,T,86.7,100,86.86,200,TGT
2025-11-26,9:30:17.345880587,T,86.72,100,86.86,200,TGT
2025-11-26,9:30:17.346136561,T,86.72,100,86.86,100,TGT
2025-11-26,9:30:17.346136561,T,86.72,100,86.99,100,TGT
2025-11-26,9:30:17.346161254,T,86.84,100,86.99,100,TGT
2025-11-26,9:30:17.347464351,T,86.72,100,86.99,100,TGT
2025-11-26,9:30:17.351113026,T,86.7,100,86.99,100,TGT
2025-11-26,9:30:17.351148070,T,86.66,100,86.99,100,TGT
2025-11-26,9:30:17.355308052,T,86.65,200,86.99,100,TGT
2025-11-26,9:30:17.355338152,T,86.65,100,86.99,100,TGT
2025-11-26,9:30:17.365046179,T,86.61,100,86.99,100,TGT
2025-11-26,9:30:17.545095145,T,86.6,100,86.99,100,TGT
2025-11-26,9:30:18.094829937,T,86.62,100,86.99,100,TGT
2025-11-26,9:30:18.094859828,T,86.75,100,86.99,100,TGT
2025-11-26,9:30:18.094884924,T,86.62,100,86.99,100,TGT
2025-11-26,9:30:18.094894910,T,86.66,100,86.99,100,TGT
2025-11-26,9:30:18.094909896,T,86.62,100,86.99,100,TGT
2025-11-26,9:30:18.095045267,T,86.62,200,86.99,100,TGT
2025-11-26,9:30:18.100107341,T,86.77,100,86.99,100,TGT
2025-11-26,9:30:18.299767980,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:18.299797989,T,86.81,100,86.99,100,TGT
2025-11-26,9:30:18.346920336,T,86.85,100,86.99,100,TGT
2025-11-26,9:30:18.366917903,T,86.82,100,86.99,100,TGT
2025-11-26,9:30:24.057935983,T,86.81,100,86.99,100,TGT
2025-11-26,9:30:24.063048229,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:28.293702143,T,86.8,100,86.85,300,TGT
2025-11-26,9:30:28.293722191,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:28.293752181,T,86.81,100,86.99,100,TGT
2025-11-26,9:30:28.294128145,T,86.81,100,86.85,100,TGT
2025-11-26,9:30:28.294148241,T,86.81,100,86.99,100,TGT
2025-11-26,9:30:28.294148241,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:28.294168156,T,86.84,100,86.99,100,TGT
2025-11-26,9:30:28.295361094,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:32.969060605,T,86.8,200,86.99,100,TGT
2025-11-26,9:30:33.036265685,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:39.108797718,T,86.81,100,86.99,100,TGT
2025-11-26,9:30:39.109404095,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:39.111589345,T,86.8,200,86.99,100,TGT
2025-11-26,9:30:39.116962115,T,86.81,100,86.99,100,TGT
2025-11-26,9:30:39.117884315,T,86.8,200,86.99,100,TGT
2025-11-26,9:30:40.368157801,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:41.015655391,T,86.8,200,86.99,100,TGT
2025-11-26,9:30:43.121893253,T,86.8,100,86.99,100,TGT
2025-11-26,9:30:50.037207963,T,86.8,100,86.99,200,TGT
2025-11-26,9:31:01.060995721,T,86.8,100,86.99,100,TGT
2025-11-26,9:31:01.061301485,T,86.8,200,86.99,100,TGT
2025-11-26,9:31:01.073560730,T,86.8,100,86.99,100,TGT
2025-11-26,9:31:01.073590743,T,86.8,100,86.99,200,TGT
2025-11-26,9:31:01.236248227,T,86.8,100,86.99,100,TGT
2025-11-26,9:31:13.661760282,T,86.77,100,86.99,100,TGT
2025-11-26,9:31:13.661790416,T,86.77,100,86.99,200,TGT
2025-11-26,9:31:13.661795354,T,86.77,100,86.98,100,TGT
2025-11-26,9:31:13.661820465,T,86.77,100,86.97,100,TGT
2025-11-26,9:31:13.661880537,T,86.77,100,86.96,100,TGT
2025-11-26,9:31:13.672470969,T,86.74,100,86.96,100,TGT
2025-11-26,9:31:13.672561245,T,86.74,100,86.94,100,TGT
2025-11-26,9:31:13.672561245,T,86.74,100,86.87,100,TGT
2025-11-26,9:31:13.672987058,T,86.74,100,86.87,200,TGT
2025-11-26,9:31:13.674430484,T,86.65,200,86.87,200,TGT
2025-11-26,9:31:13.676690823,T,86.65,200,86.87,100,TGT
2025-11-26,9:31:13.683010912,T,86.65,200,86.92,100,TGT
2025-11-26,9:31:13.692247983,T,86.65,200,86.86,100,TGT
2025-11-26,9:31:13.692588753,T,86.65,300,86.86,100,TGT
2025-11-26,9:31:13.692663918,T,86.65,300,86.86,200,TGT
