DATE,TIME_M,EX,SYM_ROOT,TR_SCOND,SIZE,PRICE
2025-10-30,9:30:00.593596269,T,TGT,FTI,4,93.28
2025-10-30,9:30:24.007828121,T,TGT,F I,5,93.55
2025-10-30,9:30:24.007833370,T,TGT,Q,5,93.55
2025-10-30,9:30:32.870935457,T,TGT,I,1,93.35
2025-10-30,9:30:32.876005537,T,TGT,F I,1,93.51
2025-10-30,9:30:33.876020021,T,TGT,F I,5,93.55
2025-10-30,9:30:34.876040386,T,TGT,F I,5,93.56
2025-10-30,9:30:35.876063892,T,TGT,F I,3,93.64
2025-10-30,9:30:37.237220579,T,TGT,,100,93.6
2025-10-30,9:30:37.237253655,T,TGT,I,25,93.55
2025-10-30,9:30:37.237253655,T,TGT,I,25,93.53
2025-10-30,9:30:37.268774775,T,TGT,I,50,93.53
2025-10-30,9:30:40.059492317,T,TGT,I,50,93.6
2025-10-30,9:30:40.237348047,T,TGT,I,50,93.54
2025-10-30,9:30:40.271596677,T,TGT,I,50,93.54
2025-10-30,9:30:40.509189722,T,TGT,I,50,93.52
2025-10-30,9:31:06.001085825,T,TGT,F I,10,93.6
2025-10-30,9:31:26.768362980,T,TGT,I,3,93.55
2025-10-30,9:31:26.768402065,T,TGT,I,47,93.55
2025-10-30,9:31:26.769466690,T,TGT,I,3,93.48
2025-10-30,9:31:26.769466690,T,TGT,I,50,93.48
2025-10-30,9:31:26.770492121,T,TGT,I,50,93.34
2025-10-30,9:31:26.772479852,T,TGT,I,50,93.33
2025-10-30,9:31:26.800274988,T,TGT,I,76,93.3
2025-10-30,9:31:27.617162217,T,TGT,I,50,93.37
2025-10-30,9:31:27.618214715,T,TGT,I,21,93.34
2025-10-30,9:31:33.374170479,T,TGT,I,60,93.38
2025-10-30,9:31:33.387125418,T,TGT,I,50,93.34
2025-10-30,9:31:33.387125418,T,TGT,I,10,93.34
2025-10-30,9:31:37.472055076,T,TGT,I,7,93.31
2025-10-30,9:31:37.472055076,T,TGT,I,26,93.27
2025-10-30,9:31:37.472060191,T,TGT,I,10,93.27
2025-10-30,9:31:37.472060191,T,TGT,I,43,93.27
2025-10-30,9:31:37.472072219,T,TGT,I,1,93.27
2025-10-30,9:31:37.472108237,T,TGT,I,6,93.27
2025-10-30,9:31:37.472177751,T,TGT,F I,75,93.25
2025-10-30,9:31:37.472177751,T,TGT,F I,75,93.25
2025-10-30,9:31:37.473124616,T,TGT,I,25,93.26
2025-10-30,9:31:37.474243381,T,TGT,I,25,93.25
2025-10-30,9:31:37.474871802,T,TGT,I,55,93.25
2025-10-30,9:32:08.862863621,T,TGT,I,55,93.22
2025-10-30,9:32:08.862863621,T,TGT,I,45,93.2
2025-10-30,9:32:08.862902743,T,TGT,,136,93.2
2025-10-30,9:32:08.862918131,T,TGT,I,19,93.2
2025-10-30,9:32:08.862918131,T,TGT,I,10,93.2
2025-10-30,9:32:08.862920851,T,TGT,I,10,93.2
2025-10-30,9:32:08.863853018,T,TGT,I,27,93.2
2025-10-30,9:32:11.507423999,T,TGT,I,32,93.21
2025-10-30,9:32:11.511967872,T,TGT,I,10,93.18
2025-10-30,9:32:11.511970861,T,TGT,I,50,93.18
2025-10-30,9:32:11.713595213,T,TGT,I,50,93.18
2025-10-30,9:32:11.713595213,T,TGT,I,10,93.18
2025-10-30,9:32:14.285800154,T,TGT,I,17,93.2
2025-10-30,9:32:15.536666141,T,TGT,I,60,93.2
2025-10-30,9:32:15.537829947,T,TGT,I,50,93.2
2025-10-30,9:32:15.539041822,T,TGT,I,25,93.2
2025-10-30,9:32:28.726214385,T,TGT,,100,93.2
2025-10-30,9:32:28.726241428,T,TGT,I,60,93.2
2025-10-30,9:32:34.787941779,T,TGT,I,50,93.18
2025-10-30,9:32:34.787941779,T,TGT,I,10,93.18
